id,日本語名,系譜,段,性別,体格,向き,カメラ,象徴形,服の傷み,内側の密度,姿,個別の注意,現状,所見
assassin,暗殺者,rogue,2,女,小,半身55,見下ろし,低く構えた両手の、刃がのこぎり状の長い短剣二本と、横に流れる結んだ黒髪,整っている,簡素,三十代の女。フードはかぶらず、黒髪を高く一本に結び、その髪が動きで横へ大きく流れる。写実寄りの硬い顔。白い麻の胴衣（襟高、袖長、縁に淡い刺繍）に革の帯とベルト、腰に深紅の帯を結んで垂らす。黒い布のズボン、革の長靴。外套なし。俯瞰で、低くかがんで片足を浮かせた動きのある構え。両手に前腕ほどの長さの短剣を一本ずつ持ち、刃の片側がのこぎり状。,フードをかぶらない。頭は結んだ髪の形／色は白の胴衣に深紅の帯。金は使わない／短剣は二本、のこぎり刃。刃だけをはっきり明るく／露出しない／ヒールを履かせない／外套・マントなし,合格（v2）,第06便v4で合格（ユーザーがGPTに衣装替えを依頼した白い胴衣版を採用）。1体だけ1085×1447で受領
shadowblade,闇の刃,rogue,3,男,小,半身55,正面,背後に浮かぶ影の刃3本と、手に持つ短剣一本,すり切れている,簡素,添付の見本「闇の刃」の姿・姿勢・体の向きをそのまま使う。体は半身で右を向き、顔も同じ向きで、奥の目は半分隠れる。深いフードと口元を覆う布、革の軽装。右手に短剣を一本、腰の高さで握り、刃先を斜め前下へ向ける。左腕は体の脇。両足を軽く開いて立ち尽くす。裾のすり切れた黒い外套が、体の左後方へ流れる。背後に、影でできた刃が三本、黒い煙をまとって浮かんでいる。,見本の姿・姿勢・体の向き・装備を変えない。変えるのは背景（マゼンタ）、縁の光なし、地面なし、頭身と、次の2点だけ／目を赤く光らせ、フードの中の顔の下半分を影に沈める（光る要素はこの目だけ）／影の刃は光らせず、輪郭に細い銀の線だけ。刃をまとう黒い煙は半透明の灰〜黒（紫を混ぜない）／影の刃3本は背後に浮かぶ。衣に生やさない／禁止：手裏剣、面,合格（v2）,第06便v3で合格。旧絵と同じ半身の姿勢、赤い目、浮かぶ影の刃3本
mage,魔法使い,mage,1,男,小,斜め35,正面,尖り帽子と、手のひらの小さな炎,使い込まれている,簡素,つばのある尖り帽子（先が少し折れている）。深い青の羊毛のローブ、無地、フードなし。顔ははっきり見える若い〜壮年の男。片足を一歩前に踏み出して歩みかけている。片手に木の杖（頭に光らない結晶がひとつ）を握り、もう片方の手のひらに、小さな炎がひとつ浮かぶ。,黒を使わない。闇の気配を出さない。盗賊に似せない／フードなし。顔を出す。目は光らない／杖は道具。結晶は光らせない／光る要素は手のひらの炎ひとつだけ。小さく／留め具は木か紐。金も宝石も使わない,合格（v2）,第07便v1で合格。尖り帽子・青いローブ・手のひらの小さな炎
archmage,大魔法使い,mage,2,男,小,浅い斜め20,見上げ,ローブの胸から裾へ走る大きな紋章と、光る杖,整っている,ふつう,老齢の男。白い髪と長い髭、深い皺。フードは下ろす。厚い織物のローブに金の縁取り。胸から裾にかけて、大きな紋章がひとつ織り込まれている。片手の杖は頭の結晶が光る。もう片方の手には、こぶし大の炎の球が浮かぶ。,浮遊する環は描かない（すべて外す）／紋章はひとつだけ、大きく。装飾はここに集中させる／光る要素は「杖の結晶」と「炎の球」の2つ。目は光らない／炎の球は魔法使いの手のひらの炎より明確に大きい／金の縁取りと紋章ひとつ（二の段）,合格（v2）,第07便v1で合格。老齢・大きな紋章・光る杖・炎の球。環なし
grandsage,大賢者,mage,3,男,小,浅い斜め20,正面,大きく舞う多色のローブと、体を球状に取り巻く光の文字,整っている,ふつう,長い髭と白髪の老人。深い皺、穏やかで静かな目。両足は地に着けて立つ。足元から吹き上がる強い風で、絹のローブと長い袖が上へ、外へ、大きく舞い広がる。裾だけでなく上半身でも、両袖と外套の肩の布が肩より高く舞い上がり、白髪と髭も上へ流れる。布は頭の高さまで届く。ローブは一色ではなく、大きな面ごとに色が違う：炎の朱、水の群青、風の翠、土の琥珀の四色が、裾と袖の面を分け合っている。金糸は縁取りに一本だけ。杖は握らず、本人の傍らに直立して浮いている。両手は開いたまま、静止。体を中心に、古い文字（術式）が無数に浮かび、球状に本人を取り巻いてゆっくり巡っている。球の直径は本人の身長ほど。文字は淡い金の光。,大魔法使い（青一色のローブ・立ち姿）と見分けるため、ローブは四色に分ける。虹のように細かく混ぜず、朱・群青・翠・琥珀の大きな面が四つ／色は共通指定の「乳白の膜」で淡く。派手な原色にしない／布は大きく舞わせる。裂かない（整っている）／光る要素は「文字の球」と「杖の結晶」の2つ。手に炎は出さない／杖を握らない。傍らに浮かせる／文字は淡く。顔と手より明るくしない／環（リング）は描かない。文字で作る／本人は動かない。動くのは布と文字だけ,合格（v2）,第08便v3で合格。四色のローブが頭の高さまで舞う、文字の球、浮く杖。1体1085×1447で受領
priest,僧侶,priest,1,女,小,斜め35,正面,斜めに持った素朴な木の杖,整っている,簡素,若い女性。生成りの簡素な法衣。フードなし、髪は結ぶ。素朴な木の杖を片手で斜めに持ち、まっすぐ前を向いて立つ。祈っていない。空いた手のひらに、ごく小さな光がひとつ。,祈りの姿にしない。前を向く／金も宝石も装飾もなし。布は生成りの無地／後光なし／光る要素は手のひらの小さな光ひとつだけ／杖は木。飾りのない実用品／献身の顔。村の診療所にいる人,合格（v2）,第09便v1で合格。生成りの法衣・木の杖・手のひらの小さな光。前を向く
highpriest,高僧,priest,2,女,小,斜め35,正面,司教冠と、高く掲げた錫杖,整っている,ふつう,壮年の女性。細身でよい。白の祭服に司教冠。錫杖を高く掲げ、その先から光が、体の右側の空間へだけ、シャワーのように斜めに降り注ぐ。光の筋は本人の体・顔・衣に一切かからず、体の右側の空いた場所に落ちる。目は開き、前を向く。,金襴はやめる。金は「帯ひとつ」と「錫杖」まで（二の段：金の縁取りと紋章ひとつ）／恰幅よくしなくてよい。細身で／後光なし。光は錫杖の先から降りるものだけ／光る要素は錫杖ひとつ／光の筋は体に重ねない。顔や体の後ろに散らさない。錫杖の先から、体の右側の空間に向けて斜め下へ降る。光と体のあいだに隙間を空ける,合格（v2）,第09便v2で合格。光は錫杖の先から体の右側の空間へ降る。1体1085×1447で受領
saint,聖者,priest,3,女,小,斜め35,見上げ,体の周囲を斜めに巡る、切れ間の入った光の環（複数）,整っている,ふつう,年齢不詳の女性。白い絹の衣に、金の紋様が織り込まれ、その紋様だけが淡く光っている。両手を胸の前で軽く開く。体の周囲を、切れ間の入った細い光の環が2〜3本、それぞれ違う角度で斜めに巡っている。加護の力に護られている姿。翼はない。,翼は描かない（翼は神獣系の印）／頭上の輪（後光）は描かない。環は体の周囲を斜めに巡るもので、頭の上に水平に置かない／環は2〜3本、細く、切れ間がある。白い光。大賢者の「金の文字の球」と違う形にする／光る要素は「環」と「衣の金の紋様」の2つ。顔と手は光らせない／金の紋様はここに集中させる。三の段の格,合格（v2）,第08便v1で合格。斜めに巡る切れ間の環・金の紋様・翼なし・後光なし（靴に低い踵あり、許容）
bard,吟遊詩人,bard,1,男,小,真横85,正面,抱えた竪琴と羽根帽子,使い込まれている,簡素,旅装の外套。真横を向いて立ち、竪琴を胸に抱え、指を弦に置いている。竪琴の弧は体の輪郭より前へ出る。口元にわずかな笑み。,刃物なし。竪琴の弧を体の外へ,合格（v2）,第10便A案で合格。真横・竪琴・羽根帽子（B案はリュートで不採用）
ogre,オーク,ogre,-,男,中,斜め35,正面,下顎の牙と、斜め前に構えた湾曲した片刃剣,使い込まれている,簡素,濃い緑の厚い皮膚。下顎から2本の牙が突き出る。直立し、肩幅が広く、兵士の姿勢。粗い鉄の胸当て・肩当て・兜で装備を鉄一色に揃える。右手で肉厚の湾曲した片刃剣を握り、斜め前へ構える。,トロールと区別するため：直立・正面・鉄の装備。這わない／胸当ては一枚板。骸骨や飾りは付けない。革帯は1本。留め具は3点まで／皮膚は緑。毛は生えない／牙が輪郭の外に出ていること（獣系の印）／金も宝石も使わない,合格（v2）,第11便v1で合格。緑の肌・鉄一色の装備・湾曲刀・直立
troll,トロール,troll,-,男,大,浅い斜め20,見上げ,地面に届く長い腕と、引きずる丸太の大槌,使い込まれている,簡素,青みがかった灰青の厚い皮膚に、苔が斑に生えている。頭は小さく、肩と胸が異様に大きい。前かがみで、片方の拳を地面についている。腕は地面に届くほど長い。もう片方の手で丸太の大槌の柄を握り、槌の頭を地面に引きずる。口から折れた牙が一本突き出る。腰に獣の皮を一枚。,オークと区別するため：這う骨格・青灰の肌・装備なし。直立しない／肌は灰色にしない（ゴーレムとかぶる）。青みのある灰青。苔は斑に、地の色が読める程度／装備は腰の毛皮一枚と大槌だけ。鎧なし／折れた牙が輪郭の外に出ていること（獣系の印）／大槌は削っただけの丸太に石を結わえたもの,合格（v2）,第11便v1で合格。灰青の肌に苔・這う骨格・丸太の大槌
werewolf,人狼,werewolf,-,－,小,半身55,見下ろし,長く伸びた鉤爪,すり切れている,簡素,人と狼のあいだの姿。前かがみで、四つ足になりかけた低い構え。全身を短い灰黒の毛が覆う。長い口吻、立った耳、黄色い眼。両手の指から、掌の倍ほどの長さの鉤爪が伸びる。破れた布と革帯を身につける。,刃物を一切持たない。爪が武器／鉤爪が輪郭の外に出ていること（獣系の印）／毛皮は逆立たせず、大きな面としてなめらかに／破れた布と革帯を身につける,合格（v2）,第12便v1で合格。低い構え・長い鉤爪・破れた布と革帯
harpy,ハーピー,harpy,-,女,中,半身55,見上げ,大きく開いた一対の翼,使い込まれている,簡素,上半身は人、両腕がそのまま大きな翼になっている。脚は猛禽の脚で、太い鉤爪を持つ。翼を左右に大きく開き、いままさに飛び立つところ。翼の先端は枠の縁の少し内側で止まり、翼の全体が枠に収まる（先端も上端も切れない）。胴と腰は厚い獣の皮と密生した羽根で完全に覆う。,翼は羽根を一枚ずつ描き込まず、3〜4枚の大きな面で描く。羽根の輪郭は翼の縁だけ／脚の鉤爪が輪郭の外に出ていること（獣系の印）／胴と腰は厚い獣の皮と密生した羽根で完全に覆う。裸体にしない／武器も鎧も持たない／翼の先端・上端を枠の外に出さない。全身と翼のすべてが枠の内側に収まる大きさで描く。翼が大きすぎて切れるくらいなら翼を小さく,合格（v2）,第12便v2で合格。翼が枠内に収まる。1体1085×1447で受領
valkyrie,ヴァルキリー,valkyrie,1,女,小,半身55,見上げ,背に開いた一対の白い翼,整っている,ふつう,女性の戦士。磨かれた軽鎧。背に一対の白い翼を開く。右手で槍の柄をしっかり握り、穂先を斜め上に向ける。兜はかぶらず、結った髪が見える。,女性の戦士。顔は凛として硬い。少女にしない／軽鎧が胴と腰を完全に覆う。腹や胸を露出させない／一の段。後光なし、浮遊する物なし。金は一箇所、宝石なし。翼は白い羽根そのもので光らせない／翼は神獣系の印。人系は翼を持たない,合格（v2）,第15便v1で合格。女性・白い翼・槍を握る・軽鎧で覆う（低い踵あり、許容）
whelp,幼竜,whelp,1,－,中,斜め35,見下ろし,体に不釣り合いなほど大きい頭と後ろ足,－,簡素,添付の見本「幼竜」の姿・姿勢・体の向き・カメラをそのまま使う。まだ空を飛べない幼い竜。前脚を踏み出して低く身構え、頭をこちらへ向け、翼を半分開く。全身を硬い鱗が覆い、口の端から小さく火の粉がこぼれる。目つきは鋭く、爪と牙は鋭利。,見本の姿勢・向き・構図を変えない。変えるのは色・背景（マゼンタ）・縁の光なし・地面なし／【色】朱赤。燃え立つ薪の色。鱗はまだ薄く艶がなく、光を反射しない。鱗の隙間から熾火のような赤がにじみ、自分から赤く発光しているように見える／吐く炎は不完全燃焼で、煤を含んでオレンジに濁る。轟音を立てる炎／光る要素は「鱗の隙間の赤」と「口の炎」の2つ。体のまわりは光らせない／比率を数字で守る：頭の長さは胴の長さと同じ／後ろ足は前足の1.5倍の太さ／翼は畳んだとき胴の中に収まる／首は頭の長さより短く、尾は胴の長さまで／翼を畳んで四つ足で立つ（横に広い）／角は短く、鱗は均一／幼いが、かわいくしすぎない,合格（v2）,第13便v2で合格。旧絵の姿勢、朱赤、鱗の隙間の赤、煤けた炎
dragon,竜,whelp,2,－,大,浅い斜め20,見上げ,大きく広げた一対の翼と、もたげた長い首,－,ふつう,添付の見本「竜」の姿・姿勢・体の向き・カメラをそのまま使う。四つ足の成竜。胸を張って首を高くもたげ、翼を頭より高く大きく広げ、口を開いて咆哮する。太い尾が後ろへ伸びる。硬く厚い鱗の板が全身を覆い、頭に一対の長い角。口の奥に火が見える。,見本の姿勢・向き・構図を変えない。変えるのは色・翼の膜（破れなし）・背景（マゼンタ）・縁の光なし・地面なし／【色】白金。炎が完全燃焼に達した段階。鱗は白熱した金属の色で、輪郭が眩しいほど明るい。ただし鱗そのものは光源にせず、白金の金属の反射として描く／光る要素は「口の奥の白い炎」と「鱗の隙間から漏れる白い光」の2つ。体の外へは広げない／吐く炎は白く、視界を焼く／翼の膜は裂けも穴も破れもない、張りのある一枚の膜。縁は滑らか（傷んだ翼は古代竜のもの）／幼竜との差：角が長い・翼が体を持ち上げる大きさ・首と尾が長い・鱗が厚い板／翼の先端・首の先・尾の先を枠の外に出さない。全身が枠の内側に収まる大きさで描く,合格（v2）,第13便v2で合格。旧絵の姿勢、白金、白い炎、破れのない翼。右翼の先が枠の右端で少し切れる（許容）
salamander,サラマンダー,salamander,1,無（人型ではない）,小,斜め35,正面,炎でできた長い蛇の胴と、喉の霊核,－,簡素,炎そのものが蛇の形をとった存在。長い胴が炎でできていて、手足はない。とぐろを一巻きして頭をもたげる。頭は蛇で、目と口だけ。喉のあたりに、こぶし大の結晶（霊核）がひとつ埋まって光る。胴の縁は炎に溶けるが、蛇の輪郭ははっきり読める。,人型にしない。顔・胸・腰など人の体の特徴を一切描かない（性別も裸体も問題にならない形）／武器・防具・服・装身具は一切なし。身につけるのは霊核ひとつだけ／31体で唯一「横に長い」形。胴の長さを見せる／炎の帯・リボンで飾らない。胴そのものが炎／光る要素は「霊核」と「胴の炎」の2つ。周囲に火の粉を散らさない／幼竜（四つ足・翼）と混ざらないよう、脚も翼も描かない,合格（v2）,第14便v1で合格。炎の蛇・喉の霊核・手足なし
frost,フリム,frost,1,無（人型だが人の特徴なし）,小,斜め35,正面,霧氷の結晶が寄り集まった、角ばった小さな人型,－,簡素,霧氷（樹氷）の結晶が寄り集まって、小さな人の輪郭をなしたもの。全身が面の折れた半透明の結晶で、丸みがなく角ばっている。顔はない（目も口も鼻もない）。胸の中心に、こぶし大の大きな結晶（霊核）が芯としてあり、そこから冷気が広がる。足は地についていない。,人型だが人ではない。顔・髪・胸・腰などの人の特徴を一切描かない。美女にしない／全身を靄にしない。結晶の面と稜線で輪郭を作り、背景から形が読めるように／武器・防具・服・装身具は一切なし／光る要素は胸の霊核ひとつ／上の段のヨトゥン（霜の巨人）と同じ「人型」の骨格を保つ（段ばしごをつなぐため）。サラマンダー（横に長い蛇）と対になる「縦に立つ角ばった形」,合格（v2）,第14便v1で合格。霧氷の結晶の人型・顔なし・胸の霊核・浮いている
golem,ゴーレム,golem,1,－,中,浅い斜め20,見上げ,胸の古い印,－,簡素,人の形をした岩と土の巨体。太い脚で踏みしめる。右手で大槌の柄の中ほどをはっきり握り、槌の頭を体の輪郭の外、地面の近くに置く。顔に相当する場所には目も口もなく、胸に刻まれた古い印だけが鈍く光る。,右手で柄の中ほどを握り、槌の頭を地面の近くに置く。柄を体の後ろに通さない／大槌ひとつだけ。鎧も装身具も布も一切なし／光るのは胸の印ひとつだけ／大きな岩の面を数枚で構成。小石や瓦礫で埋めない／トロール（青灰の皮膚）と混ざらないよう、こちらは茶灰の岩。角ばった面,合格（v2）,第15便v1で合格。茶灰の岩・胸の印・右手で大槌を握り頭を地面近くに
shaman,呪術師,shaman,1,男,小,半身55,見下ろし,手に握った小さな呪いの人形（藁を束ねて骨を刺したもの）,すり切れている,簡素,痩せた男。顔は見える。目の周りに呪いの墨の線が引かれ、口元がわずかに笑っている。無地の粗い布の衣、裾はほつれる。木の杖には小さな骨の護符がひとつ吊るされているだけ。もう片方の手に、藁を束ねて骨を刺した小さな呪いの人形を握り、覗き込むように低く構える。猫背。,一の段。面・羽根の頭飾り・頭蓋骨の杖・衣の骨飾りは付けない（それは上の段のもの）／骨は「杖の小さな護符ひとつ」だけ。骨の量が段の印（一＝骨ひとつ、二＝頭蓋骨、三＝自分が骨）／杖は木。光らない／光る要素なし／衣は無地。羽根や骨をぶら下げない／色は淀んだ緑紫。黒一色にしない／「怖い格好」ではなく「怖いことをしている」姿,合格（v2）,第10便A案で合格。呪いの人形・骨の護符ひとつ・淀んだ緑紫。布は指定より裂けているが許容
ancientdragon,古代竜,whelp,3,－,大,浅い斜め20,見上げ,光を吸い込む蒼黒の鱗と、使い込まれた翼,－,ふつう,（未作成）永い時を生きた竜。鱗は深海のような藍黒で、光を反射せず吸い込む。翼の膜は使い込まれ、縁が欠け、穴が開いている。,【色】蒼黒。温度が白金をさらに超え、青を通り越して「見えなくなった」色。黒は闇の属性ではなく熱の極致／鱗の隙間から、かすかに青い光が漏れる（夜に見ると分かる）。光る要素はこれひとつ／吐く炎は見えない。口を開けても何も出ていないように描く／翼は傷んでいてよい（この段だけ）／近づく者は熱ではなく寒さを感じる／翼の先端・首の先・尾の先を枠の外に出さない。全身が枠の内側に収まる大きさで描く,未作成,三の段。炎温ロジックの終点。竜（白金）の逆転として置く
